epoch;loss;mse;val_loss;val_mse
206;1.771756217294751e-07;1.771756217294751e-07;1.8808481172527536e-07;1.8808481172527536e-07
207;1.788328347629431e-07;1.788328347629431e-07;1.7941020757916704e-07;1.7941020757916704e-07
208;1.7726992496136518e-07;1.7726992496136518e-07;1.7928273621237167e-07;1.7928273621237167e-07
209;1.7771203886240983e-07;1.7771203886240983e-07;1.8100330123616004e-07;1.8100330123616004e-07
210;1.7638409133269306e-07;1.7638409133269306e-07;1.8455408223871927e-07;1.8455408223871927e-07
211;1.7620001813156705e-07;1.7620001813156705e-07;1.8139697033348057e-07;1.8139697033348057e-07
212;1.7722129541652976e-07;1.7722129541652976e-07;1.8203786567028146e-07;1.8203786567028146e-07
213;1.785691239319931e-07;1.785691239319931e-07;1.8199197882040608e-07;1.8199197882040608e-07
214;1.794923321085662e-07;1.794923321085662e-07;1.811738599144519e-07;1.811738599144519e-07
215;1.76748798708104e-07;1.76748798708104e-07;1.834231824204835e-07;1.834231824204835e-07
216;1.777485749698826e-07;1.777485749698826e-07;1.8294845460786746e-07;1.8294845460786746e-07
217;1.7569729493516206e-07;1.7569729493516206e-07;1.9309823073854204e-07;1.9309823073854204e-07
218;1.79305573055899e-07;1.79305573055899e-07;1.793369790448196e-07;1.793369790448196e-07
219;1.7565334076152794e-07;1.7565334076152794e-07;1.9248649607561674e-07;1.9248649607561674e-07
220;1.778909393124195e-07;1.778909393124195e-07;1.8278170443863928e-07;1.8278170443863928e-07
221;1.768666777479666e-07;1.768666777479666e-07;1.8112464772457315e-07;1.8112464772457315e-07
222;1.770605564388461e-07;1.770605564388461e-07;1.7910164729073585e-07;1.7910164729073585e-07
223;1.778097100668674e-07;1.778097100668674e-07;1.761370640451787e-07;1.761370640451787e-07
224;1.7669779595053114e-07;1.7669779595053114e-07;1.7884408975987753e-07;1.7884408975987753e-07
225;1.7570916099884926e-07;1.7570916099884926e-07;1.814008356859631e-07;1.814008356859631e-07
226;1.766902641975321e-07;1.766902641975321e-07;1.8013028579844104e-07;1.8013028579844104e-07
227;1.7675448304999009e-07;1.7675448304999009e-07;1.7834156551543856e-07;1.7834156551543856e-07
228;1.75441371652596e-07;1.75441371652596e-07;1.8819015679127915e-07;1.8819015679127915e-07
229;1.768152486647523e-07;1.768152486647523e-07;1.914539637937196e-07;1.914539637937196e-07
230;1.769447379729172e-07;1.769447379729172e-07;1.7674484809049318e-07;1.7674484809049318e-07
231;1.750700704405972e-07;1.750700704405972e-07;1.8057590978060034e-07;1.8057590978060034e-07
232;1.7809765040510683e-07;1.7809765040510683e-07;1.7915903072207584e-07;1.7915903072207584e-07
233;1.7782198824534134e-07;1.7782198824534134e-07;1.817419530425468e-07;1.817419530425468e-07
234;1.758154866138284e-07;1.758154866138284e-07;1.8380025323949667e-07;1.8380025323949667e-07
235;1.7678691222045018e-07;1.7678691222045018e-07;2.0315187043706828e-07;2.0315187043706828e-07
236;1.7820163122905797e-07;1.7820163122905797e-07;1.7916704564413521e-07;1.7916704564413521e-07
237;1.771427093899547e-07;1.771427093899547e-07;1.7790807760320604e-07;1.7790807760320604e-07
238;1.7564202892117464e-07;1.7564202892117464e-07;1.7782760153295385e-07;1.7782760153295385e-07
239;1.7708379118630546e-07;1.7708379118630546e-07;1.8323066797165666e-07;1.8323066797165666e-07
240;1.765965151889759e-07;1.765965151889759e-07;1.8067380835873337e-07;1.8067380835873337e-07
241;1.778904703542139e-07;1.778904703542139e-07;1.8009741609148477e-07;1.8009741609148477e-07
242;1.7608017799375375e-07;1.7608017799375375e-07;1.8400282897346187e-07;1.8400282897346187e-07
243;1.764986308216976e-07;1.764986308216976e-07;1.8422612413360184e-07;1.8422612413360184e-07
244;1.757245371436511e-07;1.757245371436511e-07;1.8168630333548208e-07;1.8168630333548208e-07
245;1.7643368721564912e-07;1.7643368721564912e-07;1.8169387772104528e-07;1.8169387772104528e-07
246;1.7966678456105e-07;1.7966678456105e-07;1.911965341605537e-07;1.911965341605537e-07
247;1.7694218001906847e-07;1.7694218001906847e-07;1.8831666181995388e-07;1.8831666181995388e-07
248;1.7793470874494233e-07;1.7793470874494233e-07;1.7791181505799614e-07;1.7791181505799614e-07
249;1.7746614844327269e-07;1.7746614844327269e-07;1.8684153246795177e-07;1.8684153246795177e-07
0;0.00023939445964060724;0.00023939445964060724;9.297662472818047e-06;9.297662472818047e-06
1;6.90781735102064e-06;6.90781735102064e-06;5.067841811978724e-06;5.067841811978724e-06
2;4.522722520050593e-06;4.522722520050593e-06;3.446226173764444e-06;3.446226173764444e-06
3;3.1130341540119844e-06;3.1130341540119844e-06;2.362640771025326e-06;2.362640771025326e-06
4;2.1600494619633537e-06;2.1600494619633537e-06;1.6850042356963968e-06;1.6850042356963968e-06
5;1.513266738584207e-06;1.513266738584207e-06;1.1812152251877706e-06;1.1812152251877706e-06
6;1.0760301165646524e-06;1.0760301165646524e-06;8.26774282813858e-07;8.26774282813858e-07
7;7.774616506139864e-07;7.774616506139864e-07;6.054381742615078e-07;6.054381742615078e-07
8;5.739172479479748e-07;5.739172479479748e-07;4.5317392505239695e-07;4.5317392505239695e-07
9;4.361156982213288e-07;4.361156982213288e-07;3.465405313818337e-07;3.465405313818337e-07
10;3.418224991946772e-07;3.418224991946772e-07;2.7067832775173883e-07;2.7067832775173883e-07
11;2.7767887900154165e-07;2.7767887900154165e-07;2.209035727673836e-07;2.209035727673836e-07
12;2.3350277444933454e-07;2.3350277444933454e-07;1.863901530896328e-07;1.863901530896328e-07
13;2.0386266896821326e-07;2.0386266896821326e-07;2.071427473993026e-07;2.071427473993026e-07
14;1.8401057388928166e-07;1.8401057388928166e-07;1.4741651455096871e-07;1.4741651455096871e-07
15;1.701502156947754e-07;1.701502156947754e-07;1.3896848827243957e-07;1.3896848827243957e-07
16;1.6050752549290337e-07;1.6050752549290337e-07;1.2956913053585595e-07;1.2956913053585595e-07
17;1.5382015305931418e-07;1.5382015305931418e-07;1.2592659004440065e-07;1.2592659004440065e-07
18;1.4951909577121114e-07;1.4951909577121114e-07;1.2151907924362604e-07;1.2151907924362604e-07
19;1.4637760159530444e-07;1.4637760159530444e-07;1.1828731061314102e-07;1.1828731061314102e-07
20;1.4427448036258284e-07;1.4427448036258284e-07;1.1881207484520928e-07;1.1881207484520928e-07
21;1.433177629905913e-07;1.433177629905913e-07;1.167391658896122e-07;1.167391658896122e-07
22;1.4221110689049965e-07;1.4221110689049965e-07;1.1608368311044615e-07;1.1608368311044615e-07
23;1.420021220610579e-07;1.420021220610579e-07;1.1425255053154615e-07;1.1425255053154615e-07
24;1.4100034206876444e-07;1.4100034206876444e-07;1.1489874651715581e-07;1.1489874651715581e-07
25;1.4076601928536547e-07;1.4076601928536547e-07;1.1515891884528173e-07;1.1515891884528173e-07
26;1.403990381732001e-07;1.403990381732001e-07;1.138728791261201e-07;1.138728791261201e-07
27;1.4033447826022893e-07;1.4033447826022893e-07;1.1489212425885853e-07;1.1489212425885853e-07
28;1.4019771299444983e-07;1.4019771299444983e-07;1.1928358389923233e-07;1.1928358389923233e-07
29;1.4021733818481152e-07;1.4021733818481152e-07;1.1439985314609658e-07;1.1439985314609658e-07
